T,P,h,V,is_starred
47.0,3.8232,0.0,0.0013408,false
47.0,4.0832,30.9,0.0012254,false
47.0,4.3433,68.0,0.0010869,false
47.0,4.6033,84.0,0.0010271,false
47.0,4.8632,107.0,0.0009412,false
47.0,5.1233,126.0,0.0008702,false
47.0,5.3833,142.0,0.0008105,false
47.0,5.6433,161.0,0.0007395,false
47.0,5.9032,173.0,0.0006947,false
47.0,6.1633,187.0,0.0006424,false
47.0,6.4233,198.0,0.0006013,false
47.0,6.6833,207.0,0.0005677,false
47.0,6.9432,219.0,0.0005229,false
47.0,7.2033,226.0,0.0004967,false
47.0,7.4633,235.0,0.0004631,false
47.0,7.7233,243.0,0.0004333,false
47.0,7.9832,249.0,0.0004108,false
47.0,8.2432,257.0,0.0003810,false
47.0,8.5032,262.5,0.0003604,false
47.0,8.7632,269.0,0.0003361,false
47.0,9.0132,274.0,0.0003175,false
